  0,  0, 16
  2,  0, 15
  6,  0, 15
 10,  0, 14
 14,  0, 13
 19,  0, 12
 23,  0, 11
 27,  0, 10
 31,  0,  9
 35,  0,  8
 39,  0,  8
 43,  0,  7
 48,  1,  6
 52,  1,  5
 56,  1,  4
 61,  1,  3
 65,  1,  2
 69,  1,  2
 72,  1,  2
 75,  2,  1
 78,  2,  1
 81,  3,  1
 84,  3,  1
 87,  4,  1
 90,  5,  1
 92,  6,  1
 95,  6,  1
 98,  7,  1
100,  8,  1
103,  9,  1
106,  9,  1
109, 10,  1
111, 11,  1
114, 11,  1
117, 12,  1
119, 13,  1
121, 14,  1
124, 15,  1
126, 17,  1
128, 19,  1
130, 21,  1
132, 23,  1
134, 25,  1
136, 27,  1
138, 29,  1
140, 31,  1
142, 33,  1
144, 35,  1
146, 37,  1
148, 39,  1
151, 41,  1
153, 43,  1
155, 45,  1
156, 46,  1
158, 48,  1
160, 51,  1
161, 53,  1
162, 55,  1
164, 57,  1
165, 60,  1
167, 62,  1
168, 65,  1
170, 68,  1
171, 70,  1
173, 73,  1
174, 75,  1
176, 78,  1
177, 80,  1
179, 83,  1
180, 86,  1
182, 88,  1
183, 91,  1
184, 94,  1
186, 96,  1
187, 99,  1
189,102,  1
190,105,  1
191,108,  1
192,111,  1
193,114,  1
195,117,  1
196,120,  1
197,123,  1
199,126,  1
200,130,  1
201,133,  1
203,136,  1
204,139,  1
205,142,  1
207,145,  1
208,149,  1
209,152,  1
211,155,  1
213,157,  1
215,160,  1
216,163,  1
218,167,  1
219,170,  1
221,173,  1
222,176,  1
224,179,  1
226,182,  1
227,185,  1
229,188,  1
230,191,  1
232,194,  1
233,197,  1
235,199,  1
236,202,  1
238,205,  1
239,208,  1
240,211,  1
241,214,  1
242,216,  1
243,219,  1
243,221,  1
244,224,  1
245,226,  1
246,229,  1
247,232,  1
248,234,  1
249,237,  1
250,239,  1
250,242,  1
251,244,  1
252,246,  1
253,249,  1
253,251,  1
  0,  0, 16
  0,  0, 17
  0,  0, 21
  0,  1, 24
  1,  1, 28
  1,  2, 31
  1,  2, 35
  1,  3, 39
  2,  3, 42
  2,  4, 46
  2,  4, 49
  2,  4, 53
  3,  5, 56
  3,  5, 60
  3,  5, 63
  4,  6, 67
  4,  6, 71
  5,  7, 74
  5,  7, 77
  5,  8, 79
  6,  9, 82
  6, 10, 85
  6, 11, 87
  7, 12, 89
  8, 13, 91
  9, 14, 93
  9, 15, 95
 10, 16, 97
 10, 17, 99
 11, 18,101
 11, 19,103
 12, 20,105
 13, 21,107
 13, 22,109
 14, 23,111
 15, 25,114
 16, 26,116
 16, 27,118
 17, 29,120
 18, 31,123
 19, 34,126
 19, 36,128
 20, 38,131
 21, 40,134
 22, 42,137
 23, 45,140
 24, 47,143
 25, 49,146
 25, 51,148
 26, 53,151
 27, 56,154
 28, 58,156
 29, 60,159
 30, 61,162
 31, 63,165
 31, 66,168
 31, 68,171
 32, 70,174
 32, 72,177
 32, 74,180
 32, 77,183
 32, 79,186
 32, 81,189
 32, 83,192
 32, 86,195
 32, 88,198
 32, 91,201
 32, 93,204
 32, 95,207
 32, 97,210
 32,100,213
 32,102,216
 32,104,218
 33,107,221
 33,109,223
 33,113,224
 34,117,225
 34,121,226
 35,125,227
 35,129,228
 36,132,229
 37,136,230
 37,140,231
 38,144,232
 39,148,233
 39,151,234
 39,155,235
 40,159,236
 40,163,237
 40,167,237
 40,170,238
 40,174,239
 42,177,239
 43,179,240
 45,182,240
 46,185,241
 47,189,241
 48,192,242
 50,195,242
 51,198,243
 52,201,243
 53,204,243
 54,207,244
 55,210,244
 56,213,244
 57,216,244
 58,219,245
 59,221,245
 61,224,245
 63,227,246
 65,229,246
 67,231,247
 70,233,247
 74,234,248
 77,235,248
 81,236,249
 85,238,249
 88,239,250
 92,241,250
 96,242,251
 99,244,251
103,245,252
107,247,252
110,248,253
114,250,253
118,251,254
121,253,254
125,254,255
